
OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"72,662","23,037","18,41,949",11.74,28.80,-50.75,200,28.25,28.35,150,"17,750.00",300,123.65,124.00,"4,050",27.10,122.00,14.27,"12,12,704","-9,130","9,779",
,"1,54,189","44,666","29,93,106",11.82,17.00,-39.90,"1,350",16.60,16.65,"1,250","17,800.00",500,161.95,162.00,100,39.20,161.70,14.77,"13,93,571","-5,179","29,548",
,"71,923","37,212","13,28,856",11.66,8.75,-29.95,"1,100",8.50,8.60,700,"17,850.00",50,203.85,204.45,150,52.30,207.05,15.53,"2,35,661",242,"2,986",
,"1,22,687","30,342","19,38,827",11.93,4.85,-20.60,"9,300",4.70,4.75,"16,400","17,900.00",200,249.60,250.00,850,57.70,248.25,16.58,"3,20,818",-803,"5,341",
,"60,120","24,197","9,82,814",12.42,2.95,-12.85,"8,550",2.75,2.80,"6,450","17,950.00",50,297.80,298.65,150,73.65,305.95,18.17,"43,715",723,"1,373",
,"2,25,940","24,471","18,56,104",13.44,2.10,-7.90,"14,650",2.05,2.10,"55,250","18,000.00",150,346.80,347.75,200,70.05,346.30,20.10,"90,917","-1,642","8,566",
,"71,836","17,624","6,31,980",14.62,1.70,-3.90,"1,64,150",1.60,1.70,"6,800","18,050.00",150,396.25,398.10,150,75.00,395.85,22.26,"3,094",173,344,
,"1,01,669","13,633","7,28,745",15.64,1.25,-2.20,"64,400",1.30,1.35,"34,500","18,100.00",50,445.90,447.00,200,77.25,446.40,22.83,"7,044",-5,"1,144",
,"28,836","7,486","2,05,456",16.95,1.20,-1.20,"80,550",1.20,1.25,350,"18,150.00",650,495.30,497.55,450,75.05,492.70,24.07,404,72,148,
,"85,326","-7,342","4,64,912",17.75,1.05,-0.65,"18,900",0.90,0.95,"9,000","18,200.00",50,545.40,546.40,350,80.15,545.40,26.76,"2,751",-104,"1,166",
,"9,305","-7,692","80,199",18.89,0.65,-0.70,"4,650",0.80,0.85,550,"18,250.00","1,000",594.65,597.20,150,76.40,598.20,31.01,99,-1,46,
,"43,540","-18,473","2,15,317",20.26,0.70,-0.50,"4,900",0.80,0.85,"3,300","18,300.00",250,644.60,647.00,450,76.40,643.65,29.92,656,-26,360,
,"9,355","-5,987","37,988",21.47,0.85,-0.15,"2,100",0.80,0.85,"4,850","18,350.00",400,694.40,708.10,150,77.00,693.90,32.32,2,-,18,
,"21,827","-10,877","1,09,331",22.81,0.65,-0.35,250,0.70,0.80,"1,950","18,400.00",350,744.25,746.80,150,79.85,744.50,34.55,221,-33,415,
,"11,875",-366,"34,786",23.34,0.95,0.15,"1,500",0.60,0.65,150,"18,450.00",150,783.35,807.05,150,-361.40,805.25,42.48,3,-,16,
,"1,24,943","7,620","2,72,934",25.45,0.75,-0.20,"4,250",0.80,0.90,950,"18,500.00",250,844.75,846.50,200,76.20,841.95,38.49,"3,555","-1,631","6,281",
,"1,465",-397,"6,709",25.65,0.50,-0.35,100,0.55,0.70,300,"18,550.00",750,893.65,909.25,150,-,921.00,-,-,-,13,
,"8,792",-597,"33,359",26.63,0.40,-0.40,300,0.50,0.55,"1,600","18,600.00",150,943.95,948.05,150,29.00,902.00,-,61,-6,177,
,"1,177",-206,"2,805",28.41,0.50,-0.30,100,0.45,0.60,500,"18,650.00",150,964.20,"1,006.30",150,-,"1,496.65",-,-,-,3,
,"5,904","-2,441","25,249",29.08,0.30,-0.50,50,0.40,0.50,50,"18,700.00",400,"1,042.20","1,048.75",150,95.05,"1,053.00",50.88,35,-4,60,
,"4,202",-121,"4,697",30.60,0.60,-0.20,100,0.55,0.60,50,"18,750.00",150,"1,085.80","1,101.40",150,19.80,"1,003.05",-,1,-1,2,
,"9,871","1,219","17,453",30.80,0.40,-0.30,300,0.35,0.45,"3,050","18,800.00",400,"1,142.45","1,148.05",100,-142.50,"1,100.00",-,13,-12,42,
,928,-102,"2,932",31.56,0.30,-0.40,"24,200",0.30,0.40,"4,850","18,850.00",100,"1,191.80","1,211.60",100,-626.05,"1,129.45",-,1,-,3,
,"5,435",-995,"13,269",32.23,0.35,-0.30,"4,71,250",0.25,0.30,"3,950","18,900.00",50,"1,243.60","1,248.75",150,-136.30,"1,203.70",-,8,-4,13,
